Id|Kod|Miasto|Ulica|Numer domu|Numer lokalu|Wojewodztwo|Powiat|Gmina
1959424|30-087|Kraków|Lucjana Rydla|45A|26|||
1854407|30-091|Kraków|Bronowicka|71|15|||
1853073|30-094|Kraków|Błażeja Czepca|3|105|||
1992239|30-094|Kraków|Rodakowskiego|5||||
1258490|30-095|Kraków|Złoty Róg|53||||
1920674|30-101|Kraków|Al. Krasińskiego|24A|7|||
1830031|30-101|Kraków|Zygmunta Krasińskiego|28|1|||
1840167|30-102|Kraków|K.Ujejskiego|8|18|||
1969117|30-110|Kraków|J.K.Kraszewskiego|8|6|||
1758235|30-112|Kraków|Dunin-Wąsowicza|11|16|||
1390914|30-112|Kraków|Dunin-Wąsowicza|5|4|||
1855084|30-114|Kraków|Tadeusza Kościuszki|47|25|||
1806706|30-117|Kraków|Salwatorska|23|7|||
1246171|30-117|Kraków|B.Prusa|28|2|||
17432|30-117|Kraków|Bolesawa Prusa|35|2|||
1880121|30-118|Kraków|Fałata|9|30|||
1424177|30-118|Kraków|Fałata|12|22|||
1897117|30-118|Kraków|Juliana Fałata|12|31|||
1700955|30-121|Kraków|Bronowicka|131|1|||
1709923|30-122|Kraków|Lucjana Rydla|13|24|||
