STATUS;NAZWA PLACÓWKI;MIEJSCOWOŒÆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO;POPRZEDNIO;TERAZ
-;FUP Koszalin 2;Koszalin;Bohaterów Warszawy;3;Koszalin;Koszalin;zachodniopomorskie;75-030;
-;FUP Koszalin 2;Koszalin;Szarych Szeregów;20;Koszalin;Koszalin;zachodniopomorskie;75-133;
+;FUP Koszalin 9;£azy;Leœna;7;Sianów;koszaliñski;zachodniopomorskie;;76-002
-;FUP Krasnystaw;Gorzków-Osada;G³ówna;21;Gorzków;krasnostawski;lubelskie;22-315;
+;FUP Krasnystaw;Gorzków-Osada;Nadrzeczna;4;Gorzków;krasnostawski;lubelskie;;22-315
-;FUP Kraœnik 1;Kraœnik;Jana Kochanowskiego;1 A;Kraœnik;kraœnicki;lubelskie;23-203;
+;FUP Kraœnik 1;Kraœnik;Jana Kochanowskiego;1 A/1;Kraœnik;kraœnicki;lubelskie;;23-203
-;FUP Kraœnik 1;Kraœnik (Kraœnik Fabryczny);Ks. Stanis³awa Zieliñskiego;3;Kraœnik;kraœnicki;lubelskie;23-204;
+;FUP Kraœnik 1;Kraœnik (Kraœnik Fabryczny);Ks. Stanis³awa Zieliñskiego;3/20;Kraœnik;kraœnicki;lubelskie;;23-204
+;FUP Krzepice;Przystajñ;Bór;2;Przystajñ;k³obucki;œl¹skie;;42-141
-;FUP Krzepice;Przystajñ;Czêstochowska;5;Przystajñ;k³obucki;œl¹skie;42-141;
-;FUP L¹dek-Zdrój;Stronie Œl¹skie;Koœciuszki;41;Stronie Œl¹skie;k³odzki;dolnoœl¹skie;57-550;
-;FUP Lublin 2;Lublin;Wolska;11;Lublin;Lublin;lubelskie;20-411;
+;FUP Lublin 2;Lublin;Wolska;8a;Lublin;Lublin;lubelskie;;20-411
-;FUP Lublin 2;Lublin;Zbigniewa Herberta;14;Lublin;Lublin;lubelskie;20-473;
+;FUP Lublin 2;Lublin;Zbigniewa Herberta;14/18;Lublin;Lublin;lubelskie;;20-473
-;FUP Lublin 17;Lublin;Leonarda;18;Lublin;Lublin;lubelskie;20-626;
+;FUP Lublin 17;Lublin;Leonarda;18/3;Lublin;Lublin;lubelskie;;20-626
+;FUP Lubsko 1;Trzebiel;¯arska;10;Trzebiel;¿arski;lubuskie;;68-212
+;FUP Lubsko 1;Tuplice;Mickiewicza;36;Tuplice;¿arski;lubuskie;;68-219
+;FUP £ask;Widawa;rynek Rynek Koœciuszki;11;Widawa;³aski;³ódzkie;;98-170
-;FUP £ask;Widawa;Rynek Tadeusza Koœciuszki;11;Widawa;³aski;³ódzkie;98-170;
-;FUP £êknica;Nowe Czaple;Kopalniana;6;Trzebiel;¿arski;lubuskie;68-210;
-;FUP £êknica;Trzebiel;¯arska;10;Trzebiel;¿arski;lubuskie;68-212;
-;FUP £êknica;Tuplice;Mickiewicza;36;Tuplice;¿arski;lubuskie;68-219;
-;FUP £ódŸ 58;£ódŸ (£ódŸ-Widzew);Jêdrzejowska;47;£ódŸ;£ódŸ;³ódzkie;93-636;
-;FUP Osjaków;Konopnica;Parkowa;3;Konopnica;wieluñski;³ódzkie;98-313;
-;FUP Osjaków;Ostrówek;;115;Ostrówek;wieluñski;³ódzkie;98-311;
